id,region,product,amount
166218,East,Gadget,0.97
166219,South,Gadget,4.86
166220,South,Gadget,3.76
166221,West,Gadget,0.89
166222,West,Gizmo,7.24
166223,East,Widget,7.07
166224,East,Gadget,3.9
166225,North,Gadget,4.63
166226,North,Gadget,5.79
166227,East,Gizmo,9.39
166228,South,Gadget,9.31
166229,West,Gadget,3.07
166230,South,Gizmo,8.2
166231,West,Gizmo,9.84
166232,North,Doohickey,5.99
166233,East,Gizmo,3.41
166234,North,Doohickey,7.36
166235,West,Gizmo,0.61
166236,South,Gizmo,4.68
166237,West,Widget,1.84
166238,East,Widget,9.39
166239,West,Gadget,5.0
166240,North,Gizmo,0.42
166241,West,Doohickey,9.46
166242,East,Gadget,0.95
166243,East,Doohickey,8.64
166244,East,Widget,2.83
166245,West,Gadget,5.32
166246,North,Gadget,2.95
166247,West,Gadget,1.31
166248,South,Doohickey,9.12
166249,West,Widget,4.43
166250,South,Gadget,4.08
166251,North,Widget,8.78
166252,North,Gizmo,4.66
166253,East,Widget,1.22
166254,East,Widget,0.2
166255,East,Gadget,5.97
166256,South,Gizmo,8.26
166257,East,Gizmo,1.07
166258,West,Widget,8.03
166259,East,Doohickey,5.83
166260,North,Gizmo,2.02
166261,North,Gadget,5.5
166262,East,Gadget,4.09
166263,West,Gizmo,0.27
166264,South,Doohickey,7.82
166265,North,Gizmo,8.74
166266,South,Gizmo,2.48
166267,South,Widget,2.38
166268,South,Widget,5.24
166269,South,Doohickey,6.01
166270,West,Gizmo,7.27
166271,West,Widget,1.58
166272,East,Doohickey,8.2
166273,South,Doohickey,6.5
166274,West,Gizmo,8.28
166275,East,Doohickey,5.7
166276,East,Gizmo,9.95
166277,North,Gadget,6.23
166278,South,Doohickey,0.86
166279,South,Doohickey,6.62
166280,West,Doohickey,8.65
166281,West,Doohickey,8.75
166282,West,Gizmo,3.48
166283,East,Widget,8.62
166284,North,Gadget,8.39
166285,East,Widget,4.02
166286,South,Doohickey,8.89
166287,West,Doohickey,0.99
166288,South,Widget,2.65
166289,North,Widget,8.31
166290,West,Doohickey,7.41
166291,West,Widget,9.02
166292,South,Gadget,0.14
166293,North,Gizmo,0.44
166294,South,Gadget,3.36
166295,West,Gizmo,10.0
166296,North,Widget,5.18
166297,South,Gizmo,2.21
166298,West,Doohickey,8.0
166299,South,Widget,3.24
166300,South,Doohickey,7.21
166301,North,Gadget,3.54
166302,West,Doohickey,5.04
166303,West,Gizmo,5.83
166304,South,Doohickey,6.94
166305,South,Doohickey,4.84
166306,West,Widget,7.23
166307,South,Widget,8.17
166308,South,Gadget,8.57
166309,East,Widget,2.29
166310,North,Gadget,4.85
166311,West,Doohickey,5.91
166312,South,Doohickey,0.48
166313,East,Widget,3.74
166314,East,Widget,9.78
166315,South,Gizmo,7.27
166316,East,Gizmo,9.13
166317,South,Gadget,5.46
166318,South,Gadget,0.96
166319,South,Gadget,7.64
166320,East,Doohickey,3.21
166321,West,Doohickey,2.93
166322,North,Gadget,9.8
166323,East,Gadget,5.2
166324,South,Doohickey,8.07
166325,North,Widget,0.57
166326,South,Gadget,6.53
166327,North,Gizmo,4.41
166328,West,Doohickey,2.33
166329,West,Gizmo,8.73
166330,South,Doohickey,0.87
166331,East,Widget,6.4
166332,South,Widget,1.64
166333,South,Widget,7.9
166334,East,Widget,3.13
166335,South,Gadget,7.83
166336,North,Gizmo,6.72
166337,East,Doohickey,3.19
166338,South,Widget,4.11
166339,East,Gadget,2.37
166340,North,Gizmo,5.34
166341,West,Doohickey,4.5
166342,East,Doohickey,4.81
166343,West,Gizmo,1.34
166344,South,Doohickey,0.69
166345,East,Doohickey,9.95
166346,North,Widget,9.46
166347,East,Gizmo,2.74
166348,East,Gizmo,0.52
166349,South,Doohickey,3.28
166350,West,Gadget,7.82
166351,South,Widget,0.06
166352,South,Widget,4.68
166353,West,Doohickey,7.76
166354,West,Gizmo,5.17
166355,North,Gizmo,5.2
166356,North,Doohickey,0.41
166357,West,Gizmo,2.13
166358,North,Widget,1.07
166359,East,Gizmo,1.94
166360,East,Widget,7.87
166361,West,Widget,6.44
166362,South,Doohickey,0.34
166363,South,Doohickey,9.14
166364,East,Widget,0.52
166365,West,Doohickey,8.02
166366,West,Widget,2.12
166367,West,Gadget,5.21
166368,East,Gadget,7.64
166369,North,Gadget,0.49
166370,North,Gizmo,5.73
166371,West,Doohickey,8.08
166372,South,Doohickey,8.55
166373,East,Gadget,1.23
166374,South,Gizmo,3.98
166375,West,Gizmo,7.08
166376,West,Gadget,1.07
166377,East,Gadget,5.08
166378,West,Gizmo,7.73
166379,South,Gizmo,5.98
166380,South,Gadget,8.59
166381,South,Gadget,4.58
166382,East,Gadget,7.45
166383,East,Gadget,8.79
166384,South,Gizmo,3.24
166385,West,Doohickey,9.75
166386,North,Gadget,0.39
166387,West,Doohickey,2.25
166388,South,Doohickey,4.81
166389,North,Widget,2.64
166390,North,Doohickey,4.23
166391,South,Widget,1.89
166392,North,Doohickey,7.51
166393,South,Gadget,4.53
166394,East,Gadget,0.76
166395,North,Widget,0.53
166396,East,Widget,9.57
166397,West,Widget,6.12
166398,North,Widget,5.59
166399,South,Gizmo,0.88
166400,West,Gadget,2.64
166401,East,Gizmo,3.64
166402,East,Gadget,2.25
166403,South,Gadget,6.4
166404,North,Gadget,0.9
166405,South,Doohickey,6.13
166406,South,Widget,1.81
166407,East,Gizmo,7.02
166408,East,Widget,1.97
166409,South,Widget,1.76
166410,North,Widget,1.31
166411,East,Gizmo,8.7
166412,East,Gadget,4.44
166413,East,Gadget,3.62
166414,South,Gadget,7.2
166415,North,Doohickey,8.58
166416,East,Gadget,9.3
166417,West,Doohickey,7.75
166418,East,Widget,2.08
166419,North,Gizmo,9.75
166420,West,Doohickey,4.74
166421,North,Gadget,8.78
166422,North,Widget,5.82
166423,North,Doohickey,2.25
166424,South,Doohickey,6.91
166425,East,Doohickey,1.03
166426,West,Gadget,4.43
166427,East,Gizmo,9.36
166428,North,Gadget,1.03
166429,East,Widget,5.49
166430,South,Gadget,2.86
166431,West,Widget,0.91
166432,South,Gizmo,0.32
166433,North,Gadget,5.39
166434,North,Gadget,9.95
166435,West,Gadget,7.55
166436,North,Gizmo,2.36
166437,North,Doohickey,5.85
166438,North,Doohickey,6.7
166439,East,Widget,2.69
166440,West,Widget,5.06
166441,East,Doohickey,5.39
166442,East,Widget,1.25
166443,West,Widget,1.16
166444,West,Widget,7.18
166445,West,Widget,9.68
166446,West,Gadget,6.59
166447,North,Gizmo,6.26
166448,East,Widget,0.32
166449,South,Gizmo,0.33
166450,West,Widget,9.39
166451,South,Doohickey,9.17
166452,North,Doohickey,2.36
166453,West,Gizmo,4.15
166454,East,Widget,1.05
166455,South,Gizmo,7.48
166456,East,Doohickey,4.49
166457,West,Doohickey,0.67
166458,East,Gizmo,4.38
166459,South,Gizmo,1.84
166460,West,Gadget,6.52
166461,East,Widget,8.33
166462,West,Gadget,1.87
166463,West,Doohickey,2.31
166464,West,Doohickey,7.71
166465,East,Widget,2.08
166466,East,Widget,4.04
166467,West,Doohickey,8.65
166468,North,Gadget,2.92
166469,West,Gadget,7.9
166470,North,Gadget,8.86
166471,North,Gadget,0.98
166472,South,Widget,6.21
166473,South,Gadget,1.96
166474,South,Doohickey,5.79
166475,East,Gadget,0.01
166476,North,Doohickey,6.64
166477,East,Doohickey,4.83
166478,South,Doohickey,0.17
166479,East,Gadget,8.48
166480,West,Widget,3.62
166481,South,Gadget,3.58
166482,South,Widget,6.8
166483,West,Doohickey,7.77
166484,North,Widget,1.24
166485,South,Doohickey,7.12
166486,North,Widget,3.34
166487,East,Gadget,6.39
166488,South,Gadget,4.23
166489,West,Gizmo,2.64
166490,West,Gizmo,7.21
166491,East,Doohickey,9.49
166492,South,Gizmo,9.83
166493,North,Doohickey,3.53
166494,North,Doohickey,1.97
166495,West,Doohickey,0.86
166496,West,Widget,3.13
166497,North,Doohickey,1.5
166498,West,Doohickey,1.5
166499,South,Widget,1.57
166500,North,Gizmo,5.49
166501,North,Widget,8.46
166502,West,Gizmo,3.13
166503,South,Widget,2.01
166504,East,Doohickey,8.21
166505,East,Widget,5.84
166506,North,Gadget,3.08
166507,East,Gizmo,6.09
166508,North,Gizmo,6.25
166509,North,Gadget,1.76
166510,South,Gadget,0.29
166511,South,Widget,9.59
166512,West,Gadget,9.2
166513,North,Gizmo,8.94
166514,East,Gadget,7.0
166515,West,Gadget,6.47
166516,South,Widget,9.29
166517,North,Widget,8.62
166518,North,Doohickey,7.12
166519,South,Doohickey,9.87
166520,West,Gadget,8.49
166521,East,Doohickey,8.44
166522,North,Widget,5.88
166523,South,Gizmo,6.93
166524,North,Doohickey,9.7
166525,North,Gizmo,4.52
166526,East,Gadget,6.72
166527,West,Doohickey,8.89
166528,North,Gadget,8.97
166529,South,Widget,0.69
166530,North,Gadget,3.9
166531,South,Widget,0.74
166532,North,Doohickey,8.64
166533,North,Gizmo,0.18
166534,North,Gadget,1.73
166535,North,Doohickey,6.93
166536,North,Gadget,3.69
166537,South,Doohickey,7.59
166538,South,Doohickey,4.07
166539,East,Gizmo,2.24
166540,East,Gizmo,5.81
166541,East,Gadget,1.57
166542,North,Gadget,9.93
166543,East,Doohickey,9.39
166544,South,Doohickey,2.57
166545,North,Widget,0.99
166546,East,Widget,3.63
166547,East,Gizmo,7.64
166548,North,Widget,1.45
166549,North,Gadget,9.98
166550,North,Widget,0.65
166551,South,Doohickey,8.77
166552,East,Widget,0.82
166553,South,Gadget,9.67
166554,North,Doohickey,2.51
166555,East,Doohickey,9.67
166556,North,Doohickey,2.71
166557,East,Widget,7.06
166558,South,Doohickey,6.71
166559,East,Gizmo,3.13
166560,North,Widget,4.51
166561,North,Widget,3.75
166562,West,Gizmo,0.15
166563,West,Gadget,0.93
166564,South,Widget,9.43
166565,North,Gadget,9.99
166566,East,Gadget,7.14
166567,East,Gizmo,5.73
166568,West,Gizmo,7.85
166569,South,Doohickey,1.8
166570,North,Gadget,5.31
166571,North,Gadget,1.1
166572,South,Widget,4.33
166573,South,Doohickey,1.63
166574,North,Gadget,5.49
166575,South,Widget,0.98
166576,West,Doohickey,7.5
166577,East,Widget,5.31
166578,North,Gizmo,4.1
166579,South,Gadget,2.93
166580,North,Gadget,2.61
166581,North,Gizmo,0.7
166582,East,Gizmo,8.82
166583,South,Doohickey,1.66
166584,East,Gadget,8.79
166585,North,Doohickey,5.84
166586,East,Gadget,1.25
166587,West,Gizmo,1.95
166588,South,Doohickey,6.01
166589,West,Gizmo,7.05
166590,South,Widget,2.38
166591,East,Gadget,2.53
166592,East,Doohickey,8.77
166593,West,Gizmo,9.66
166594,North,Gadget,9.41
166595,West,Widget,5.09
166596,West,Widget,6.25
166597,West,Widget,6.94
166598,East,Gadget,4.9
166599,North,Gadget,5.05
166600,West,Gadget,1.29
166601,North,Gizmo,4.88
166602,West,Widget,1.71
166603,South,Doohickey,2.97
166604,North,Doohickey,2.82
166605,West,Doohickey,3.33
166606,East,Gizmo,9.65
166607,North,Widget,8.57
166608,North,Gadget,8.92
166609,North,Doohickey,6.22
166610,South,Doohickey,2.47
166611,South,Gizmo,1.05
166612,North,Widget,0.35
166613,South,Widget,6.3
166614,North,Doohickey,6.0
166615,East,Widget,2.7
166616,North,Widget,6.75
166617,South,Gadget,2.22
166618,East,Gizmo,1.03
166619,West,Gizmo,4.56
166620,East,Gadget,0.19
166621,South,Gadget,8.36
166622,North,Gizmo,6.82
166623,South,Doohickey,6.0
166624,South,Gadget,3.25
166625,East,Widget,0.07
166626,East,Doohickey,3.8
166627,East,Widget,2.18
166628,South,Doohickey,1.58
166629,North,Gizmo,9.97
166630,South,Gadget,6.39
166631,East,Gadget,5.97
166632,West,Widget,2.86
166633,North,Gadget,2.89
166634,North,Widget,9.43
166635,East,Doohickey,3.56
166636,West,Widget,7.14
166637,East,Widget,9.97
166638,West,Widget,4.12
166639,East,Doohickey,5.28
166640,West,Gadget,5.64
166641,West,Doohickey,4.67
166642,South,Doohickey,2.17
166643,East,Gizmo,5.63
166644,West,Gizmo,7.78
166645,North,Gizmo,6.12
166646,North,Gizmo,8.8
166647,North,Widget,9.38
166648,East,Widget,8.73
166649,West,Gadget,7.61
166650,South,Gadget,8.4
166651,West,Widget,2.61
166652,North,Gizmo,2.04
166653,North,Widget,0.62
166654,West,Doohickey,8.59
166655,West,Widget,0.32
166656,South,Gizmo,4.81
166657,North,Widget,7.14
166658,South,Widget,1.28
166659,East,Gadget,4.92
166660,South,Widget,4.87
166661,West,Gadget,5.76
166662,East,Gadget,1.67
166663,East,Widget,1.87
166664,North,Widget,2.43
166665,East,Gadget,9.33
166666,South,Gadget,8.63
166667,South,Gadget,1.86
166668,North,Doohickey,0.77
166669,North,Doohickey,4.49
166670,West,Widget,2.52
166671,South,Gizmo,0.97
166672,North,Gizmo,3.24
166673,West,Widget,5.98
166674,South,Gizmo,8.89
166675,North,Gadget,2.98
166676,East,Widget,6.37
166677,East,Gadget,1.12
166678,East,Doohickey,8.93
166679,East,Widget,0.41
166680,South,Gizmo,1.15
166681,South,Widget,2.17
166682,West,Gizmo,0.35
166683,North,Gizmo,3.37
166684,North,Widget,7.44
166685,South,Gadget,7.06
166686,East,Widget,4.55
166687,West,Gizmo,7.88
166688,East,Widget,8.45
166689,West,Doohickey,1.34
166690,North,Doohickey,8.46
166691,East,Gadget,7.68
166692,West,Doohickey,5.3
166693,South,Widget,6.52
166694,West,Doohickey,2.28
166695,West,Widget,6.23
166696,North,Doohickey,3.73
166697,South,Gadget,2.96
166698,East,Gadget,6.31
166699,South,Doohickey,7.89
166700,West,Gizmo,7.63
166701,North,Doohickey,7.32
166702,South,Gadget,3.14
166703,North,Gadget,0.02
166704,West,Gadget,6.85
166705,North,Gadget,7.72
166706,North,Widget,3.34
166707,South,Doohickey,9.94
166708,North,Doohickey,8.71
166709,East,Gizmo,1.73
166710,North,Widget,5.96
166711,South,Doohickey,3.47
166712,West,Doohickey,5.74
166713,East,Doohickey,5.22
166714,North,Widget,7.11
166715,North,Doohickey,4.12
166716,North,Widget,4.09
166717,North,Doohickey,2.3
166718,North,Doohickey,2.63
166719,West,Doohickey,4.53
166720,South,Gizmo,0.11
166721,North,Widget,9.26
166722,South,Widget,3.37
166723,East,Widget,4.23
166724,West,Doohickey,4.6
166725,West,Widget,7.83
166726,West,Widget,4.05
166727,West,Widget,0.39
166728,East,Gadget,7.12
166729,East,Widget,5.63
166730,East,Gizmo,9.14
166731,South,Widget,0.58
166732,South,Gizmo,4.93
166733,North,Widget,4.23
166734,West,Doohickey,1.76
166735,North,Widget,9.19
166736,West,Doohickey,3.95
166737,West,Gizmo,7.46
166738,East,Gizmo,4.08
166739,North,Gadget,1.68
166740,South,Gadget,1.4
166741,West,Gizmo,5.6
166742,North,Widget,0.21
166743,West,Gadget,3.05
166744,West,Widget,2.24
166745,South,Widget,3.08
166746,South,Gizmo,4.96
166747,West,Doohickey,9.87
166748,South,Gadget,4.36
166749,West,Gadget,0.16
166750,South,Gadget,4.68
166751,South,Gizmo,7.37
166752,South,Doohickey,9.52
166753,West,Gadget,1.43
166754,South,Gizmo,8.31
166755,West,Widget,5.59
166756,South,Gizmo,9.9
166757,East,Gizmo,6.39
166758,West,Doohickey,9.95
166759,East,Gizmo,1.45
166760,South,Gizmo,2.48
166761,North,Widget,0.08
166762,North,Gadget,6.23
166763,East,Doohickey,5.53
166764,East,Widget,5.92
166765,South,Gadget,4.07
166766,West,Doohickey,4.5
166767,North,Gizmo,5.4
166768,North,Gadget,7.2
166769,North,Gizmo,0.64
166770,West,Gadget,0.36
166771,West,Gizmo,9.52
166772,North,Widget,7.76
166773,South,Widget,5.47
166774,West,Widget,5.47
166775,North,Gizmo,8.27
166776,West,Gizmo,1.31
166777,North,Widget,6.85
166778,South,Gadget,9.06
166779,North,Gizmo,1.27
166780,South,Gadget,8.13
166781,South,Gizmo,1.5
166782,North,Doohickey,9.27
166783,South,Doohickey,2.57
166784,North,Doohickey,2.99
166785,West,Gizmo,0.14
166786,North,Widget,2.65
166787,North,Gadget,7.82
166788,East,Gizmo,6.47
166789,South,Gadget,7.92
166790,North,Widget,2.85
166791,East,Doohickey,0.01
166792,South,Doohickey,1.93
166793,West,Gizmo,7.74
166794,East,Gizmo,1.96
166795,North,Gizmo,2.85
166796,West,Gadget,2.77
166797,North,Widget,6.64
166798,South,Gadget,0.57
166799,West,Widget,3.53
166800,West,Gizmo,7.27
166801,West,Gadget,8.33
166802,North,Widget,4.88
166803,North,Gadget,8.72
166804,East,Doohickey,0.76
166805,West,Gadget,6.97
166806,East,Gadget,1.88
166807,North,Doohickey,0.68
166808,North,Doohickey,7.29
166809,South,Gadget,0.25
166810,South,Gizmo,6.22
166811,North,Widget,2.35
166812,East,Gadget,5.54
166813,North,Gadget,1.99
166814,East,Gizmo,4.49
166815,South,Gizmo,3.21
166816,East,Gadget,6.21
166817,North,Gizmo,7.21
166818,West,Gizmo,5.65
166819,West,Gizmo,9.85
166820,South,Gizmo,0.62
166821,North,Widget,4.91
166822,East,Gadget,8.34
166823,North,Gadget,8.0
166824,West,Gadget,2.73
166825,South,Gizmo,6.55
166826,East,Gadget,8.81
166827,North,Gizmo,4.97
166828,West,Doohickey,9.33
166829,East,Gadget,0.46
166830,South,Gadget,5.16
166831,East,Widget,4.27
166832,East,Gadget,5.59
166833,South,Gizmo,5.09
166834,West,Doohickey,6.64
166835,East,Gadget,6.32
166836,South,Gizmo,5.73
166837,North,Doohickey,6.41
166838,East,Gadget,8.74
166839,East,Gadget,2.06
166840,South,Widget,1.03
166841,North,Gizmo,7.42
166842,South,Gadget,7.78
166843,West,Widget,8.37
166844,North,Widget,9.86
166845,North,Widget,9.98
166846,East,Doohickey,0.79
166847,East,Doohickey,7.03
166848,South,Doohickey,7.11
166849,West,Widget,1.86
166850,South,Widget,9.24
166851,South,Doohickey,1.27
166852,West,Gadget,2.45
166853,North,Doohickey,4.44
166854,West,Gizmo,7.6
166855,West,Doohickey,6.52
166856,North,Gadget,0.02
166857,East,Doohickey,8.8
166858,South,Doohickey,0.16
166859,North,Gizmo,4.44
166860,East,Doohickey,3.97
166861,West,Gadget,0.63
166862,East,Gizmo,2.19
166863,East,Gadget,1.91
166864,West,Gizmo,7.24
166865,South,Widget,6.73
166866,South,Gizmo,3.74
166867,South,Gizmo,8.94
166868,North,Gadget,3.24
166869,West,Gadget,8.6
166870,East,Gadget,7.26
166871,South,Gadget,2.27
166872,South,Doohickey,2.67
166873,West,Doohickey,0.73
166874,East,Gizmo,2.37
166875,East,Gadget,3.63
166876,East,Widget,0.27
166877,East,Gizmo,4.25
166878,East,Gizmo,3.77
166879,East,Gizmo,4.32
166880,South,Gizmo,8.6
166881,West,Gadget,8.49
166882,East,Widget,0.9
166883,West,Gizmo,0.18
166884,North,Widget,8.67
166885,East,Doohickey,6.01
166886,West,Gizmo,0.13
166887,West,Widget,3.63
166888,North,Doohickey,9.67
166889,North,Gizmo,8.9
166890,South,Widget,3.09
166891,North,Gizmo,1.76
166892,North,Doohickey,2.39
166893,North,Doohickey,6.58
166894,South,Gizmo,7.12
166895,East,Widget,2.15
166896,South,Doohickey,3.72
166897,South,Gadget,8.2
166898,South,Gadget,6.19
166899,East,Doohickey,0.58
166900,North,Gizmo,1.87
166901,West,Widget,4.68
166902,North,Gadget,3.46
166903,North,Gizmo,7.03
166904,West,Gizmo,4.52
166905,South,Gadget,8.59
166906,East,Doohickey,8.72
166907,South,Gadget,9.28
166908,South,Gizmo,4.67
166909,East,Widget,1.87
166910,West,Gadget,6.99
166911,East,Doohickey,5.67
166912,South,Widget,1.45
166913,East,Widget,4.49
166914,South,Gadget,6.4
166915,North,Gizmo,0.97
166916,South,Gizmo,5.46
166917,East,Doohickey,9.36
166918,East,Doohickey,6.62
166919,East,Gadget,2.16
166920,East,Doohickey,1.1
166921,West,Widget,1.22
166922,East,Gizmo,1.22
166923,South,Doohickey,3.16
166924,East,Gizmo,0.41
166925,South,Gadget,9.96
166926,North,Doohickey,9.83
166927,West,Gadget,9.94
166928,North,Doohickey,5.75
166929,North,Widget,1.3
166930,West,Doohickey,8.75
166931,West,Gizmo,0.47
166932,South,Gizmo,1.05
166933,West,Gadget,9.93
166934,North,Doohickey,0.9
166935,East,Gadget,5.73
166936,North,Gadget,3.79
166937,North,Widget,3.28
166938,East,Gadget,8.53
166939,East,Widget,1.11
166940,West,Widget,2.52
166941,West,Gadget,5.98
166942,North,Doohickey,4.81
166943,East,Doohickey,9.8
166944,East,Gizmo,7.06
166945,North,Gizmo,8.08
166946,South,Doohickey,2.64
166947,West,Doohickey,2.12
166948,West,Widget,1.2
166949,North,Gadget,2.26
166950,North,Doohickey,1.75
166951,West,Gizmo,7.54
166952,South,Doohickey,0.06
166953,North,Doohickey,7.89
166954,East,Widget,7.49
166955,East,Gizmo,8.46
166956,West,Doohickey,6.81
166957,West,Gizmo,2.39
166958,North,Gadget,7.35
166959,West,Gadget,7.25
166960,East,Gadget,6.12
166961,South,Doohickey,2.59
166962,East,Widget,3.7
166963,West,Widget,0.84
166964,South,Widget,3.87
166965,West,Widget,1.56
166966,West,Doohickey,3.57
166967,South,Gadget,9.27
166968,West,Gadget,5.49
166969,South,Widget,8.74
166970,West,Gadget,9.21
166971,West,Gizmo,7.4
166972,South,Gizmo,7.63
166973,North,Gadget,3.63
166974,North,Gizmo,5.17
166975,West,Gizmo,1.4
166976,South,Widget,0.31
166977,North,Gizmo,6.09
166978,West,Gadget,0.49
166979,North,Gadget,4.07
166980,East,Widget,9.37
166981,South,Doohickey,8.3
166982,South,Doohickey,6.98
166983,North,Widget,5.58
166984,South,Gizmo,1.47
166985,East,Gizmo,6.61
166986,East,Gizmo,6.99
166987,East,Widget,8.84
166988,South,Doohickey,6.14
166989,South,Doohickey,3.28
166990,East,Gizmo,6.75
166991,South,Widget,0.9
166992,West,Doohickey,2.48
166993,North,Gizmo,1.13
166994,South,Gizmo,3.66
166995,North,Widget,4.75
166996,South,Doohickey,9.87
166997,South,Gadget,6.53
166998,West,Doohickey,8.63
166999,East,Widget,7.85
167000,East,Gadget,5.17
167001,South,Widget,8.39
167002,West,Gizmo,6.73
167003,West,Gadget,6.69
167004,West,Gadget,0.98
167005,North,Doohickey,3.58
167006,South,Gizmo,2.42
167007,East,Widget,8.9
167008,South,Gadget,2.32
167009,South,Gadget,1.78
167010,South,Gizmo,7.57
167011,East,Doohickey,6.97
167012,East,Gadget,1.31
167013,South,Gizmo,4.78
167014,North,Gizmo,3.4
167015,East,Widget,0.33
167016,East,Widget,2.22
167017,South,Gizmo,8.5
167018,West,Widget,9.79
167019,North,Widget,4.69
167020,South,Gizmo,1.51
167021,North,Widget,7.67
167022,East,Gizmo,7.86
167023,East,Gizmo,0.41
167024,North,Gadget,0.15
167025,North,Gizmo,6.35
167026,South,Gadget,4.45
167027,East,Widget,3.92
167028,East,Doohickey,7.88
167029,West,Gadget,9.4
167030,North,Gizmo,9.27
167031,East,Gizmo,8.81
167032,West,Doohickey,1.75
167033,North,Widget,2.96
167034,West,Widget,8.44
167035,West,Doohickey,5.66
167036,South,Doohickey,3.52
167037,West,Widget,4.11
167038,West,Widget,0.13
167039,East,Widget,2.31
167040,West,Widget,3.31
167041,North,Widget,2.67
167042,North,Widget,1.06
167043,East,Gadget,8.53
167044,East,Gadget,9.02
167045,East,Widget,0.45
167046,North,Gadget,4.51
167047,South,Widget,1.83
167048,West,Doohickey,3.99
167049,West,Doohickey,5.84
167050,North,Widget,3.72
167051,South,Doohickey,3.38
167052,West,Doohickey,7.44
167053,West,Gizmo,4.04
167054,North,Widget,6.19
167055,East,Doohickey,5.74
167056,West,Widget,4.95
167057,East,Gadget,5.81
167058,West,Gizmo,7.83
167059,South,Gadget,6.5
167060,East,Doohickey,8.82
167061,East,Gizmo,0.07
167062,West,Gizmo,7.52
167063,East,Widget,4.38
167064,North,Gadget,0.36
167065,North,Doohickey,8.28
167066,East,Doohickey,5.86
167067,North,Gadget,6.84
167068,East,Gadget,9.02
167069,South,Widget,0.82
167070,West,Gadget,3.92
167071,West,Widget,1.03
167072,West,Doohickey,5.39
167073,South,Doohickey,8.33
167074,South,Widget,0.52
167075,North,Doohickey,1.84
167076,East,Gizmo,8.02
167077,North,Doohickey,3.34
167078,West,Widget,9.05
167079,South,Widget,4.01
167080,East,Widget,6.06
167081,North,Widget,9.95
167082,South,Doohickey,7.19
167083,East,Gadget,7.1
167084,North,Widget,2.61
167085,North,Gizmo,2.1
167086,West,Gadget,5.65
167087,South,Doohickey,5.15
167088,South,Widget,5.98
167089,North,Gizmo,3.05
167090,South,Gizmo,4.38
167091,South,Doohickey,4.93
167092,South,Doohickey,8.49
167093,East,Gadget,1.66
167094,East,Gizmo,7.03
167095,East,Widget,9.57
167096,East,Doohickey,5.14
167097,North,Gizmo,3.09
167098,East,Gizmo,7.51
167099,East,Gizmo,6.54
167100,North,Gizmo,6.82
167101,North,Gizmo,4.47
167102,North,Gizmo,4.22
167103,North,Gizmo,1.65
167104,South,Widget,5.4
167105,South,Widget,8.23
167106,East,Gizmo,0.74
167107,North,Gadget,3.12
167108,South,Gadget,0.15
167109,West,Doohickey,8.6
167110,West,Gizmo,3.8
167111,West,Gadget,2.39
167112,West,Gizmo,8.11
167113,East,Gadget,8.97
167114,East,Gadget,2.02
167115,West,Widget,0.69
167116,East,Gadget,2.76
167117,East,Doohickey,0.59
167118,South,Gadget,1.43
167119,North,Doohickey,3.04
167120,South,Doohickey,8.49
167121,West,Widget,5.39
167122,South,Doohickey,6.26
167123,South,Widget,3.73
167124,South,Gizmo,0.45
167125,East,Gizmo,8.3
167126,South,Gadget,5.92
167127,West,Gadget,9.94
167128,East,Widget,2.02
167129,East,Gadget,6.89
167130,South,Doohickey,1.71
167131,East,Doohickey,2.56
167132,South,Gadget,4.72
167133,North,Gizmo,8.79
167134,East,Gizmo,9.13
167135,South,Doohickey,5.78
167136,South,Gadget,7.65
167137,East,Gadget,9.5
167138,North,Widget,4.48
167139,West,Gadget,9.62
167140,North,Gizmo,6.34
167141,North,Gizmo,6.29
167142,East,Widget,6.41
167143,North,Widget,2.01
167144,South,Gizmo,3.05
167145,West,Gadget,5.69
167146,East,Gadget,6.24
167147,East,Gizmo,9.41
167148,South,Widget,3.42
167149,East,Widget,5.17
167150,South,Doohickey,2.75
167151,West,Widget,7.68
167152,North,Widget,6.62
167153,North,Widget,1.75
167154,West,Gizmo,0.05
167155,West,Gizmo,7.29
167156,South,Gadget,8.75
167157,South,Gizmo,2.92
167158,East,Widget,9.57
167159,East,Gizmo,9.42
167160,West,Doohickey,1.59
167161,South,Doohickey,7.71
167162,South,Gizmo,9.39
167163,West,Gadget,2.07
167164,North,Widget,1.7
167165,East,Gadget,8.26
167166,East,Doohickey,7.25
167167,West,Widget,7.84
167168,West,Doohickey,6.84
167169,North,Doohickey,4.77
167170,West,Gizmo,5.34
167171,East,Doohickey,7.37
167172,West,Gizmo,9.49
167173,South,Doohickey,9.18
167174,North,Widget,8.2
167175,North,Gadget,5.15
167176,North,Gizmo,9.83
167177,South,Doohickey,5.32
167178,South,Gadget,6.91
167179,North,Doohickey,6.76
167180,North,Widget,2.77
167181,West,Gizmo,6.12
167182,West,Widget,5.72
167183,West,Doohickey,9.09
167184,West,Doohickey,6.27
167185,South,Doohickey,0.43
167186,North,Gizmo,9.58
167187,West,Gadget,7.73
167188,North,Gizmo,0.79
167189,South,Doohickey,5.1
167190,East,Gadget,3.43
167191,North,Gadget,8.1
167192,East,Widget,1.86
167193,East,Gizmo,9.92
167194,South,Doohickey,6.94
167195,West,Gizmo,9.39
167196,West,Gizmo,0.84
167197,North,Gadget,5.95
167198,East,Widget,0.4
167199,West,Gizmo,2.9
167200,South,Gadget,0.77
